epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.502916693687439,1.065666913986206,0.0002989878,0.5029288530349731,0.5008333325386047,0.4716666638851166,1.199869155883789,0.47780677676200867,0.6100000143051147
1,0.5145833492279053,1.054142713546753,0.00029591037,0.5144747495651245,0.5183333158493042,0.4583333432674408,1.342979907989502,0.47346073389053345,0.7433333396911621
2,0.48875001072883606,1.078033685684204,0.0002908102,0.4891391694545746,0.5066666603088379,0.46166667342185974,2.396303415298462,0.47306790947914124,0.6733333468437195
3,0.51541668176651,1.0389657020568848,0.00028375795,0.5154553055763245,0.5141666531562805,0.4533333480358124,3.4981021881103516,0.4677419364452362,0.6766666769981384
4,0.4987500011920929,1.0477399826049805,0.00027485145,0.4987146556377411,0.48500001430511475,0.46000000834465027,8.143646240234375,0.4732142984867096,0.7066666483879089
5,0.5095833539962769,1.0223028659820557,0.00026421415,0.5098543167114258,0.4958333373069763,0.4699999988079071,16.663667678833008,0.4802631437778473,0.7300000190734863
6,0.49041667580604553,1.0387017726898193,0.0002519935,0.49051937460899353,0.4958333373069763,0.45500001311302185,38.16453170776367,0.4699331820011139,0.70333331823349
7,0.5091666579246521,1.009374737739563,0.00023835893,0.5091210603713989,0.5116666555404663,0.46000000834465027,78.81377410888672,0.47356829047203064,0.7166666388511658
8,0.4841666519641876,1.0220415592193604,0.00022349945,0.4842192828655243,0.4858333468437195,0.4483333230018616,113.44461059570312,0.46966731548309326,0.800000011920929
9,0.503333330154419,1.001262903213501,0.00020762105,0.5032680034637451,0.5133333206176758,0.4716666638851166,152.7797393798828,0.48187634348869324,0.753333330154419
10,0.4987500011920929,1.0043659210205078,0.00019094387,0.49869677424430847,0.47833332419395447,0.4866666793823242,210.9922332763672,0.4922480583190918,0.846666693687439
11,0.5,1.0022958517074585,0.00017369911,0.5,0.5083333253860474,0.46000000834465027,211.83607482910156,0.474683552980423,0.75
12,0.5012500286102295,0.9940902590751648,0.00015612584,0.5012028813362122,0.5208333134651184,0.4633333384990692,171.09547424316406,0.4762931168079376,0.7366666793823242
13,0.5074999928474426,0.9822996258735657,0.00013846764,0.5074503421783447,0.5108333230018616,0.4749999940395355,196.14016723632812,0.48496994376182556,0.8066666722297668
14,0.5045833587646484,0.9886221289634705,0.00012096935,0.5045416951179504,0.5091666579246521,0.4583333432674408,207.26614379882812,0.47514909505844116,0.79666668176651
15,0.4987500011920929,0.9844715595245361,0.00010387355,0.49875929951667786,0.5024999976158142,0.4650000035762787,217.90602111816406,0.4772234261035919,0.7333333492279053
16,0.5120833516120911,0.9776595234870911,8.7417204e-05,0.5122362971305847,0.5058333277702332,0.4633333384990692,224.6831817626953,0.47745901346206665,0.7766666412353516
17,0.4983333349227905,0.9843528270721436,7.1828465e-05,0.4983164966106415,0.4933333396911621,0.46833333373069763,219.0528106689453,0.4800838530063629,0.7633333206176758
18,0.4908333420753479,0.9976661205291748,5.7323454e-05,0.4908638000488281,0.4925000071525574,0.46000000834465027,182.65524291992188,0.4743589758872986,0.7400000095367432
19,0.49541667103767395,0.9762779474258423,4.4103243e-05,0.4955320954322815,0.5083333253860474,0.46666666865348816,175.79026794433594,0.47826087474823,0.7333333492279053
20,0.5041666626930237,0.9686985015869141,3.2351138e-05,0.5041459202766418,0.5066666603088379,0.46166667342185974,183.37767028808594,0.4749455451965332,0.7266666889190674
21,0.5191666483879089,0.962110698223114,2.2230002e-05,0.5192307829856873,0.5174999833106995,0.46166667342185974,168.91612243652344,0.4748358726501465,0.7233333587646484
22,0.5141666531562805,0.9669041037559509,1.38801815e-05,0.5142617225646973,0.5108333230018616,0.46000000834465027,181.29544067382812,0.4736842215061188,0.7200000286102295
23,0.5095833539962769,0.9677413105964661,7.417419e-06,0.50949627161026,0.5141666531562805,0.46166667342185974,184.6640625,0.4748358726501465,0.7233333587646484
24,0.49000000953674316,0.9905155301094055,2.931317e-06,0.4902755320072174,0.5041666626930237,0.4633333384990692,157.6128387451172,0.47598254680633545,0.7266666889190674
25,0.4933333396911621,0.9819537401199341,4.840583e-07,0.4933333396911621,0.4933333396911621,0.46166667342185974,173.38658142089844,0.4748358726501465,0.7233333587646484
